Category,Item,Description,Price
Queen Bee Series,Queen Bee,"Special tea sweetened with brown sugar, served with fresh milk and boba pearls.",4.37
,Mama Bee,"Crème Brûlée, Fresh Milk, and Ube.",10.56
,Baby Bee,Crème Brûlée and Fresh Milk.,7.59
,Oreo Crème Brûlée,"Crème Brûlée, Oreo crumble, fresh milk, premium tea, and boba pearls.",6.39
Stinger,Stinger,"A refreshing mix of tropical fruits and ginger ale, topped with boba pearls.",2.4
Milk Tea Series,Classic Milk Tea,Traditional black tea with milk and chewy tapioca pearls.,3.5
,Jasmine Green Milk Tea,Fragrant jasmine green tea blended with milk and boba pearls.,3.75
,Taro Milk Tea,Creamy taro-flavored milk tea with boba pearls.,4.0
,Matcha Milk Tea,Earthy matcha green tea combined with milk and boba pearls.,4.25
Fruit Tea Series,Mango Green Tea,Fresh mango puree mixed with green tea and boba pearls.,3.8
,Strawberry Black Tea,Sweet strawberry flavor infused with black tea and boba pearls.,3.9
,Passion Fruit Tea,Tangy passion fruit blended with tea and boba pearls.,3.85
Specialty Drinks,Brown Sugar Boba Milk,Rich brown sugar syrup with fresh milk and boba pearls.,4.5
,Thai Iced Tea,Sweet and creamy Thai tea topped with boba pearls.,4.0
,Honeydew Milk Tea,Refreshing honeydew melon flavor combined with milk and boba pearls.,4.2
,Coconut Milk Tea,Creamy coconut-flavored milk tea with boba pearls.,4.3
,Coffee Milk Tea,Bold coffee blended with milk tea and boba pearls.,4.35
,Almond Milk Tea,Nutty almond flavor mixed with milk tea and boba pearls.,4.15
,Lychee Green Tea,Sweet lychee flavor infused with green tea and boba pearls.,3.95
,Peach Oolong Tea,Juicy peach flavor combined with oolong tea and boba pearls.,4.05